Index,Date_2017,Hour,Throughput_2017,Week Number,Weekday,Date_2018,Throughput_2018,Date_2019,Throughput_2019
1641,,7:00:00,,23,Friday,,,6/7/19,2
1642,,8:00:00,,23,Friday,6/8/18,1,,
1643,,9:00:00,,23,Friday,,,6/7/19,2
1644,,10:00:00,,23,Friday,6/8/18,3,6/7/19,5
1645,,11:00:00,,23,Friday,6/8/18,3,6/7/19,8
1646,,12:00:00,,23,Friday,,,6/7/19,3
1647,,13:00:00,,23,Friday,6/8/18,3,6/7/19,1
1648,,14:00:00,,23,Friday,,,6/7/19,8
1649,,15:00:00,,23,Friday,,,6/7/19,6
1650,,16:00:00,,23,Friday,,,6/7/19,8
1651,,17:00:00,,23,Friday,,,6/7/19,6
1652,,18:00:00,,23,Friday,6/8/18,2,,
1653,,19:00:00,,23,Friday,,,6/7/19,3
1654,,20:00:00,,23,Friday,6/8/18,4,6/7/19,1
1655,,6:00:00,,23,Monday,,,6/3/19,2
1656,,7:00:00,,23,Monday,,,6/3/19,4
1657,,9:00:00,,23,Monday,,,6/3/19,3
1658,,10:00:00,,23,Monday,,,6/3/19,2
1659,,11:00:00,,23,Monday,,,6/3/19,3
1660,,14:00:00,,23,Monday,,,6/3/19,4
1661,,15:00:00,,23,Monday,6/4/18,1,6/3/19,2
1662,,16:00:00,,23,Monday,,,6/3/19,1
1663,,17:00:00,,23,Monday,,,6/3/19,2
1664,,19:00:00,,23,Monday,6/4/18,1,,
1665,,20:00:00,,23,Monday,6/4/18,1,,
1666,,7:00:00,,23,Saturday,6/9/18,1,6/8/19,3
1667,,8:00:00,,23,Saturday,,,6/8/19,2
1668,,9:00:00,,23,Saturday,6/9/18,2,,
1669,,11:00:00,,23,Saturday,,,6/8/19,5
1670,,12:00:00,,23,Saturday,,,6/8/19,1
1671,,13:00:00,,23,Saturday,,,6/8/19,1
1672,,14:00:00,,23,Saturday,6/9/18,4,,
1673,,15:00:00,,23,Saturday,6/9/18,2,,
1674,,18:00:00,,23,Saturday,6/9/18,7,,
1675,,11:00:00,,23,Sunday,,,6/9/19,9
1676,,12:00:00,,23,Sunday,,,6/9/19,1
1677,,13:00:00,,23,Sunday,,,6/9/19,4
1678,,14:00:00,,23,Sunday,6/10/18,10,,
1679,6/11/17,15:00:00,4,23,Sunday,,,6/9/19,4
1680,,16:00:00,,23,Sunday,6/10/18,9,6/9/19,7
1681,,17:00:00,,23,Sunday,6/10/18,3,,
1682,,19:00:00,,23,Sunday,,,6/9/19,1
1683,6/11/17,21:00:00,1,23,Sunday,6/10/18,2,6/9/19,2
1684,,7:00:00,,23,Thursday,6/7/18,5,,
1685,,9:00:00,,23,Thursday,,,6/6/19,2
1686,,10:00:00,,23,Thursday,6/7/18,2,6/6/19,1
1687,,11:00:00,,23,Thursday,,,6/6/19,6
1688,,12:00:00,,23,Thursday,6/7/18,4,6/6/19,1
1689,,13:00:00,,23,Thursday,,,6/6/19,1
1690,,14:00:00,,23,Thursday,,,6/6/19,13
1691,,15:00:00,,23,Thursday,6/7/18,6,6/6/19,3
1692,,16:00:00,,23,Thursday,,,6/6/19,14
1693,,17:00:00,,23,Thursday,6/7/18,4,6/6/19,1
1694,,20:00:00,,23,Thursday,6/7/18,7,,
1695,,21:00:00,,23,Thursday,6/7/18,1,,
1696,,6:00:00,,23,Tuesday,,,6/4/19,1
1697,,8:00:00,,23,Tuesday,,,6/4/19,2
1698,,9:00:00,,23,Tuesday,6/5/18,2,6/4/19,1
1699,,12:00:00,,23,Tuesday,6/5/18,1,6/4/19,3
1700,,13:00:00,,23,Tuesday,,,6/4/19,1
1701,,14:00:00,,23,Tuesday,6/5/18,2,6/4/19,5
1702,,15:00:00,,23,Tuesday,6/5/18,2,,
1703,,18:00:00,,23,Tuesday,6/5/18,2,,
1704,,19:00:00,,23,Tuesday,,,6/4/19,1
1705,,20:00:00,,23,Tuesday,,,6/4/19,2
1706,,21:00:00,,23,Tuesday,,,6/4/19,1
1707,,5:00:00,,23,Wednesday,,,6/5/19,2
1708,,7:00:00,,23,Wednesday,6/6/18,1,6/5/19,5
1709,,8:00:00,,23,Wednesday,6/6/18,6,6/5/19,2
1710,,9:00:00,,23,Wednesday,,,6/5/19,2
1711,,10:00:00,,23,Wednesday,,,6/5/19,2
1712,,11:00:00,,23,Wednesday,6/6/18,2,6/5/19,6
1713,,12:00:00,,23,Wednesday,,,6/5/19,1
1714,,13:00:00,,23,Wednesday,,,6/5/19,1
1715,,14:00:00,,23,Wednesday,,,6/5/19,3
1716,,15:00:00,,23,Wednesday,6/6/18,4,6/5/19,5
1717,,16:00:00,,23,Wednesday,,,6/5/19,19
1718,,17:00:00,,23,Wednesday,,,6/5/19,4
1719,,18:00:00,,23,Wednesday,6/6/18,1,6/5/19,5
1720,,19:00:00,,23,Wednesday,,,6/5/19,4
1721,,21:00:00,,23,Wednesday,,,6/5/19,2
1722,,5:00:00,,24,Friday,6/15/18,2,,
1723,,7:00:00,,24,Friday,6/15/18,1,,
1724,,9:00:00,,24,Friday,,,6/14/19,3
1725,6/16/17,10:00:00,4,24,Friday,,,6/14/19,4
